node_id,sender,asn,time,channel,is_eb
8561,05-43-32-ff-03-d9-89-61 (64b),0x00000024d2,2017-09-02 11:05:40.351474,23,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x00000024f4,2017-09-02 11:05:40.974985,26,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002537,2017-09-02 11:05:41.808261,22,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000000259c,2017-09-02 11:05:43.335467,24,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x00000025be,2017-09-02 11:05:43.898891,20,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000002601,2017-09-02 11:05:44.906346,17,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000002601,2017-09-02 11:05:44.962336,17,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x0000002601,2017-09-02 11:05:45.019275,17,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x0000002601,2017-09-02 11:05:45.036044,17,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x0000002601,2017-09-02 11:05:45.040187,17,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x0000002601,2017-09-02 11:05:45.040733,17,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x0000002601,2017-09-02 11:05:45.106299,17,0
8561,05-43-32-ff-04-da-28-87 (64b),0x0000002645,2017-09-02 11:05:46.158882,15,1
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000002688,2017-09-02 11:05:46.93254,19,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x00000026cb,2017-09-02 11:05:47.94747,13,1
8561,05-43-32-ff-04-dd-35-87 (64b),0x00000026ed,2017-09-02 11:05:48.456271,14,1
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000002795,2017-09-02 11:05:51.104315,15,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000000283e,2017-09-02 11:05:53.696314,20,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x000000285f,2017-09-02 11:05:54.144244,21,1
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000002929,2017-09-02 11:05:57.156244,11,0
8561,05-43-32-ff-04-da-28-87 (64b),0x000000294b,2017-09-02 11:05:57.519464,13,1
8961,05-43-32-ff-03-dd-85-61 (64b),0x000000296d,2017-09-02 11:05:58.28347,14,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x000000296d,2017-09-02 11:05:58.357145,14,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x000000296d,2017-09-02 11:05:58.357212,14,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x000000296d,2017-09-02 11:05:58.35939,14,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x000000296d,2017-09-02 11:05:58.359952,14,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x000000296d,2017-09-02 11:05:58.360504,14,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x000000296d,2017-09-02 11:05:58.363099,14,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002d3d,2017-09-02 11:06:12.883904,14,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000002d5f,2017-09-02 11:06:13.567466,21,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000002e07,2017-09-02 11:06:15.802903,22,1
8561,05-43-32-ff-04-da-28-87 (64b),0x0000002e8e,2017-09-02 11:06:18.056319,20,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000002f14,2017-09-02 11:06:19.854885,26,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000002f58,2017-09-02 11:06:21.079333,19,1
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000002f58,2017-09-02 11:06:21.132244,19,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002fde,2017-09-02 11:06:22.839475,20,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000003043,2017-09-02 11:06:24.412061,18,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x00000030ca,2017-09-02 11:06:26.442469,12,0
8561,05-43-32-ff-04-da-28-87 (64b),0x0000003172,2017-09-02 11:06:28.918334,23,1
8561,05-43-32-ff-03-d7-86-62 (64b),0x000000323c,2017-09-02 11:06:31.950459,24,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000003280,2017-09-02 11:06:33.199471,16,0
