node_id,asn,time
a664,0x000000057a,2017-09-11 10:36:40.1688
9161,0x000000057a,2017-09-11 10:36:40.239476
2887,0x000000057a,2017-09-11 10:36:40.258568
2084,0x000000057a,2017-09-11 10:36:40.292839
9758,0x000000057a,2017-09-11 10:36:40.294524
a861,0x000000057a,2017-09-11 10:36:40.295337
1885,0x000000057a,2017-09-11 10:36:40.295939
b759,0x000000057a,2017-09-11 10:36:40.298722
8561,0x000000057a,2017-09-11 10:36:40.30049
2087,0x000000057a,2017-09-11 10:36:40.300908
9958,0x000000057a,2017-09-11 10:36:40.301303
9460,0x00000012e4,2017-09-11 10:37:31.671339
9460,0x0000004ffd,2017-09-11 10:41:26.057088
2087,0x000000f9df,2017-09-11 10:52:17.635527
b759,0x000000f9de,2017-09-11 10:52:17.670328
9161,0x000000f9df,2017-09-11 10:52:17.724663
1885,0x000000f9df,2017-09-11 10:52:17.725277
2887,0x000000f9df,2017-09-11 10:52:17.726948
a664,0x000000f9df,2017-09-11 10:52:17.731367
9758,0x000000f9df,2017-09-11 10:52:17.736555
9958,0x000000f9df,2017-09-11 10:52:17.736972
9460,0x0000010748,2017-09-11 10:53:09.149126
a664,0x00000136f8,2017-09-11 10:56:12.008936
2887,0x00000136f9,2017-09-11 10:56:12.017411
2087,0x00000136f9,2017-09-11 10:56:12.017957
9758,0x00000136f8,2017-09-11 10:56:12.071462
9460,0x0000014462,2017-09-11 10:57:03.472847
9958,0x0000017412,2017-09-11 11:00:06.324925
2887,0x0000017413,2017-09-11 11:00:06.415473
9460,0x000001817c,2017-09-11 11:00:57.824516
9958,0x000001b12b,2017-09-11 11:04:00.656519
8561,0x000001b12b,2017-09-11 11:04:00.803732
a664,0x000001b12b,2017-09-11 11:04:00.809178
2887,0x000001b12c,2017-09-11 11:04:05.818952
a861,0x000001b12c,2017-09-11 11:04:05.824629
2084,0x000001b12c,2017-09-11 11:04:05.832097
9460,0x000001be96,2017-09-11 11:04:52.267497
a861,0x000001e447,2017-09-11 11:07:16.844897
8561,0x000001ee3a,2017-09-11 11:07:55.180951
a664,0x000001ee40,2017-09-11 11:07:55.328296
a861,0x0000022160,2017-09-11 11:11:11.031755
1885,0x0000022b5e,2017-09-11 11:11:49.495485
8561,0x0000022b5f,2017-09-11 11:11:49.551464
2084,0x0000022b60,2017-09-11 11:11:54.557884
9958,0x0000022b5f,2017-09-11 11:11:54.558567
b759,0x0000026877,2017-09-11 11:15:43.897239
9161,0x0000026879,2017-09-11 11:15:43.931965
2087,0x0000026879,2017-09-11 11:15:43.934398
9758,0x0000026879,2017-09-11 11:15:43.938304
9460,0x00000275e2,2017-09-11 11:16:35.38376
1885,0x000002a592,2017-09-11 11:19:38.227533
b759,0x000002a590,2017-09-11 11:19:38.283472
9460,0x000002b2fb,2017-09-11 11:20:29.740663
2087,0x000002e2ab,2017-09-11 11:23:32.607334
1885,0x000002e2ab,2017-09-11 11:23:32.615761
9758,0x000002e2ab,2017-09-11 11:23:32.649334
b759,0x000002e2a9,2017-09-11 11:23:32.649869
9460,0x000002f014,2017-09-11 11:24:24.111484
2087,0x0000031fc5,2017-09-11 11:27:26.837176
9958,0x0000031fc3,2017-09-11 11:27:27.024422
9958,0x0000035cdd,2017-09-11 11:31:21.42753
b759,0x00000399f4,2017-09-11 11:35:15.703626
2087,0x00000399f7,2017-09-11 11:35:15.762112
a664,0x00000399f6,2017-09-11 11:35:15.822305
a861,0x000003cd12,2017-09-11 11:38:31.796777
a664,0x000003d710,2017-09-11 11:39:10.075304
8561,0x000003d710,2017-09-11 11:39:10.119461
2087,0x000003d712,2017-09-11 11:39:10.159467
2887,0x000003d712,2017-09-11 11:39:10.160199
2084,0x000003d712,2017-09-11 11:39:10.164667
