node_id,asn,time
9161,0x000000a5b4,2017-09-11 15:13:04.25152
8561,0x000000a5b4,2017-09-11 15:13:04.254675
a861,0x000000a5b4,2017-09-11 15:13:04.263797
a664,0x000000a5b4,2017-09-11 15:13:04.279473
9758,0x000000a5b4,2017-09-11 15:13:04.283118
9460,0x000000a5b4,2017-09-11 15:13:04.284072
2887,0x000000a5b4,2017-09-11 15:13:04.288757
9958,0x000000a5b4,2017-09-11 15:13:04.306516
1885,0x000000a5b4,2017-09-11 15:13:04.329075
b759,0x000000a5b4,2017-09-11 15:13:04.331462
2084,0x000000a5b4,2017-09-11 15:13:04.332199
2087,0x000000a5b4,2017-09-11 15:13:04.355463
2887,0x000000a7ad,2017-09-11 15:13:11.815476
2084,0x000000a9a8,2017-09-11 15:13:19.389576
a664,0x000000a9a8,2017-09-11 15:13:19.390333
b759,0x000000aa70,2017-09-11 15:13:22.342837
2087,0x000000aa70,2017-09-11 15:13:22.380253
8561,0x000000aa70,2017-09-11 15:13:22.417856
1885,0x000000aa70,2017-09-11 15:13:22.419533
9758,0x000000aa70,2017-09-11 15:13:22.420188
9161,0x000000aa70,2017-09-11 15:13:22.421818
8561,0x000000ac05,2017-09-11 15:13:28.460769
a664,0x000000ac05,2017-09-11 15:13:28.524275
2087,0x000000ae65,2017-09-11 15:13:37.454776
a664,0x000000ae65,2017-09-11 15:13:37.544288
b759,0x000000ae65,2017-09-11 15:13:37.547465
2084,0x000000ae65,2017-09-11 15:13:37.611464
8561,0x000000b05e,2017-09-11 15:13:45.003471
9161,0x000000b18c,2017-09-11 15:13:49.647498
a664,0x000000b18c,2017-09-11 15:13:49.722313
9161,0x000000b3e8,2017-09-11 15:13:58.726538
8561,0x000000b517,2017-09-11 15:14:03.264528
9758,0x000000b649,2017-09-11 15:14:07.819476
2087,0x000000b7db,2017-09-11 15:14:13.875474
9758,0x000000b86e,2017-09-11 15:14:15.974706
2084,0x000000b96e,2017-09-11 15:14:20.01654
9758,0x000000ba39,2017-09-11 15:14:22.951511
1885,0x000000ba39,2017-09-11 15:14:22.959624
1885,0x000000bb02,2017-09-11 15:14:25.967487
2887,0x000000bc34,2017-09-11 15:14:30.520379
2084,0x000000bd60,2017-09-11 15:14:35.055053
2887,0x000000c3ac,2017-09-11 15:14:59.127496
1885,0x000000c47a,2017-09-11 15:15:02.18425
9758,0x000000c99f,2017-09-11 15:15:21.979492
9161,0x000000ca34,2017-09-11 15:15:24.215485
2887,0x000000cb5d,2017-09-11 15:15:28.615475
2087,0x000000cc22,2017-09-11 15:15:31.672433
9161,0x000000d182,2017-09-11 15:15:52.151498
9161,0x000000d249,2017-09-11 15:15:55.16747
9958,0x000000d249,2017-09-11 15:15:55.275463
2087,0x000000d315,2017-09-11 15:15:58.418473
b759,0x000000d37c,2017-09-11 15:15:59.908319
2087,0x000000d571,2017-09-11 15:16:07.295478
9958,0x000000d571,2017-09-11 15:16:07.368268
9758,0x000000d964,2017-09-11 15:16:22.515485
2084,0x000000da92,2017-09-11 15:16:27.055482
9758,0x000000dc26,2017-09-11 15:16:33.09947
a861,0x000000dc26,2017-09-11 15:16:33.111338
2087,0x000000dc26,2017-09-11 15:16:33.111955
a664,0x000000e20b,2017-09-11 15:16:55.563489
1885,0x000000e3a8,2017-09-11 15:17:01.751289
9758,0x000000e46c,2017-09-11 15:17:04.767473
9758,0x000000e46c,2017-09-11 15:17:04.93229
2084,0x000000e861,2017-09-11 15:17:20.008527
a861,0x000000e8d3,2017-09-11 15:17:21.687474
8561,0x000000e9f5,2017-09-11 15:17:26.025751
2087,0x000000eb89,2017-09-11 15:17:32.127472
8561,0x000000f191,2017-09-11 15:17:55.043123
9958,0x000000f4e8,2017-09-11 15:18:07.967091
b759,0x000000f638,2017-09-11 15:18:12.999329
1885,0x000000f86b,2017-09-11 15:18:21.387289
8561,0x000000f8f8,2017-09-11 15:18:23.640285
8561,0x000000f8f8,2017-09-11 15:18:23.810401
a664,0x000000fdaf,2017-09-11 15:18:41.747498
a861,0x000000fdaf,2017-09-11 15:18:41.747694
2887,0x000000ff43,2017-09-11 15:18:47.799173
1885,0x0000010018,2017-09-11 15:18:50.859477
1885,0x000001052e,2017-09-11 15:19:10.444744
2887,0x0000010857,2017-09-11 15:19:22.595498
9958,0x0000010ab8,2017-09-11 15:19:31.579471
2887,0x0000010ab8,2017-09-11 15:19:31.672259
8561,0x000001129b,2017-09-11 15:20:01.957845
a861,0x000001129b,2017-09-11 15:20:01.958743
a664,0x000001129b,2017-09-11 15:20:01.974419
9958,0x00000117bb,2017-09-11 15:20:21.587498
2887,0x0000011846,2017-09-11 15:20:23.634497
2887,0x0000011846,2017-09-11 15:20:23.795462
9958,0x0000011992,2017-09-11 15:20:28.515136
b759,0x000001431f,2017-09-11 15:23:08.107707
2087,0x0000014b07,2017-09-11 15:23:38.379488
9460,0x0000014dc6,2017-09-11 15:23:48.962903
2087,0x0000014e2b,2017-09-11 15:23:50.418474
1885,0x0000014fbf,2017-09-11 15:23:56.420497
9460,0x0000014fbf,2017-09-11 15:23:56.487204
9758,0x0000014fbf,2017-09-11 15:23:56.489101
9958,0x0000014fbf,2017-09-11 15:23:56.489852
2887,0x0000014fbf,2017-09-11 15:23:56.531465
2887,0x00000152e7,2017-09-11 15:24:08.627489
2887,0x0000015613,2017-09-11 15:24:20.798779
9758,0x0000015613,2017-09-11 15:24:20.811476
1885,0x000001586f,2017-09-11 15:24:29.767477
9758,0x0000015a66,2017-09-11 15:24:37.379032
1885,0x0000015d29,2017-09-11 15:24:48.018715
9758,0x0000016f50,2017-09-11 15:25:57.607509
9758,0x000001830a,2017-09-11 15:27:13.164942
9758,0x0000018edf,2017-09-11 15:27:58.66401
9460,0x0000018edf,2017-09-11 15:27:58.676273
9958,0x0000018fad,2017-09-11 15:28:01.718918
9460,0x00000191a3,2017-09-11 15:28:09.255332
9958,0x000001926c,2017-09-11 15:28:12.279474
9958,0x00000196c5,2017-09-11 15:28:28.93149
9758,0x00000196c5,2017-09-11 15:28:28.944943
9958,0x0000019a53,2017-09-11 15:28:42.551061
9460,0x0000019b7f,2017-09-11 15:28:47.156273
9758,0x000001a4f7,2017-09-11 15:29:23.416811
1885,0x000001a6f0,2017-09-11 15:29:31.000318
9758,0x000001a6f0,2017-09-11 15:29:31.001119
9958,0x000001a6f0,2017-09-11 15:29:31.002767
9460,0x000001a6f0,2017-09-11 15:29:31.00354
2887,0x000001aa7d,2017-09-11 15:29:44.614793
9460,0x000001b06b,2017-09-11 15:30:07.215334
2087,0x000001b265,2017-09-11 15:30:14.883472
2887,0x000001b524,2017-09-11 15:30:25.355493
2087,0x000001b6bb,2017-09-11 15:30:31.514577
9460,0x000001b6bb,2017-09-11 15:30:31.524278
2887,0x000001b71d,2017-09-11 15:30:33.027479
9460,0x000001bb13,2017-09-11 15:30:48.143492
2887,0x000001bfcb,2017-09-11 15:31:06.28464
9460,0x000001c8df,2017-09-11 15:31:41.143854
9460,0x000001d05e,2017-09-11 15:32:09.907298
9460,0x000001d2ba,2017-09-11 15:32:18.96749
9460,0x000001d648,2017-09-11 15:32:32.65651
9460,0x000001db04,2017-09-11 15:32:50.755335
9460,0x000001eacc,2017-09-11 15:33:51.27563
9758,0x000001ec63,2017-09-11 15:33:57.35634
9460,0x000001ef88,2017-09-11 15:34:09.450393
9758,0x000001ef8a,2017-09-11 15:34:09.451233
9460,0x000001f11c,2017-09-11 15:34:15.49549
2887,0x000001fe88,2017-09-11 15:35:06.939516
9460,0x000001fe88,2017-09-11 15:35:06.962394
2887,0x000002014c,2017-09-11 15:35:17.619496
9460,0x0000020e4e,2017-09-11 15:36:07.499503
9460,0x000002200f,2017-09-11 15:37:15.607509
9460,0x0000022b83,2017-09-11 15:37:59.483495
9460,0x0000023364,2017-09-11 15:38:29.763502
9460,0x00000238ed,2017-09-11 15:38:50.939529
1885,0x00000239b6,2017-09-11 15:38:53.979466
2087,0x0000023d41,2017-09-11 15:39:07.603775
2087,0x000002419b,2017-09-11 15:39:24.123481
1885,0x000002432c,2017-09-11 15:39:30.282326
1885,0x0000025b3d,2017-09-11 15:41:02.504556
1885,0x0000025e04,2017-09-11 15:41:13.278914
1885,0x00000260c4,2017-09-11 15:41:23.787492
1885,0x00000270f1,2017-09-11 15:42:25.851516
1885,0x0000031eed,2017-09-11 15:53:33.263525
1885,0x000003426f,2017-09-11 15:55:49.443522
1885,0x00000345fc,2017-09-11 15:56:03.070782
1885,0x0000034ab8,2017-09-11 15:56:21.239488
1885,0x0000037cd6,2017-09-11 15:59:33.391261
1885,0x000003bd87,2017-09-11 16:03:41.64353
1885,0x000003c246,2017-09-11 16:03:59.8515
1885,0x000003c9f3,2017-09-11 16:04:29.24809
b759,0x000003d929,2017-09-11 16:05:27.5875
1885,0x000004022d,2017-09-11 16:08:04.975241
1885,0x0000040684,2017-09-11 16:08:21.607485
1885,0x0000041453,2017-09-11 16:09:14.507509
1885,0x0000041b0b,2017-09-11 16:09:40.311532
1885,0x00000426de,2017-09-11 16:10:25.72085
1885,0x0000044ac5,2017-09-11 16:12:43.435934
